REPORTE LABOS 2026 - Seguimiento por Cliente (ene-abr 2026)
Montos en ARS sin IVA. TRX = transacciones / envases aprobados del mes. Fuente: carpeta PROFORMAS Drive.
NOTA: Avanter marzo no tiene desglose por laboratorio en los archivos compartidos (s/d). Feb de Colgate/MaxVision/Sidus Farma/Ceoderma sin archivo (s/d).

Cliente,Código,Laboratorio / Programa,Modelo de cobro,ENE TRX,ENE Monto FC,ENE Monto x TRX,FEB TRX,FEB Monto FC,FEB Monto x TRX,MAR TRX,MAR Monto FC,MAR Monto x TRX,ABR TRX,ABR Monto FC,ABR Monto x TRX,ACUM TRX (ene-abr),ACUM Monto FC (ene-abr)
ASTRAZENECA,5005,Programa Elegir Salud (AZ),Uso plataforma MAT + TRX x VU,15730,3164020.00,201.15,13198,2976652.00,225.54,14775,3447758.00,233.35,14849,3898957.00,262.57,58552,13487387.00
BAYER,5015,Programa Más Simple (Bayer),"0,50% PVP con mínimo",1154,972221.92,842.48,1090,941267.72,863.55,1181,1044493.17,884.41,1178,1075303.74,912.82,4603,4033286.55
SIDUS,5040,Sidus Dermo (Bonos + Plataforma digital),TRX x VU + uso plataforma + WhatsApp,2522,1282897.00,508.68,2281,1255491.00,550.41,2333,1330813.00,570.43,4879,2298686.15,471.14,12015,6167887.15
SIDUS,5041,Programa Convida (Sidus Farma),"1,00% PVP con mínimo $766.721,67",688,766721.67,1114.42,,,,615,766721.67,1246.70,894,766721.67,857.63,2197,2300165.01
PANALAB,5080,Panalab Digital (Bonos + Plataforma),TRX x VU + uso plataforma + WhatsApp,4196,7099101.00,1691.87,3565,6836393.00,1917.64,4586,8378215.00,1826.91,4586,9065584.00,1976.80,16933,31379293.00
PANALAB,5081,Panalab Papel Manual,Registros procesados + cajas (IPC CABA),63271,6443666.51,101.84,82475,8320434.77,100.88,90524,9289060.32,102.61,103401,10793227.50,104.38,339671,34846389.10
COLGATE,5028,Bonos de Descuento Colgate,"1,00% PVP",18127,1730226.41,95.45,,,,23875,2338884.94,97.96,20351,1876522.43,92.21,62353,5945633.78
MAX VISION,5025,Programa Max Compromiso (Max Vision),"1,00% PVP",6309,1313290.74,208.16,,,,6019,1368036.90,227.29,6040,1378201.65,228.18,18368,4059529.29
BIU,5070,Bonos BIU Cosmeceuticals,TRX x VU,22,1628.00,74.00,20,1480.00,74.00,21,1554.00,74.00,9,837.00,93.00,72,5499.00
CEODERMA,5120,Programa Eximia Cepage (Ceoderma),"0,60% PVP",769,159805.20,207.81,,,,,,,,,,769,159805.20
HALEON / HEALTH CARE,5026,Bonos Descuento Haleon + Luar (Health Care),Valor fijo por operación,,,,,871875.50,,,,,,952203.02,,,1824078.52
LAZAR (nuevo 2026),—,Lazar (Fase 1 Startup),Abono/startup; luego % PVP con mínimo,,500000.00,,,,,,,,252,344079.51,1365.39,252,844079.51
PROVINCIA ART (nuevo 2026),—,Provincia ART,"0,35% sobre monto vendido",8166,1073509.30,131.46,,,,8692,1293685.98,148.84,8849,1471007.21,166.23,25707,3838202.49
SERDATA (nuevo 2026),—,Serdata (Bonos),Valor unitario por bono procesado,,,,76676,4544586.52,59.27,,,,,,,76676,4544586.52
AVANTER,5004,Programa TEVAcuidar (TEVA),Avanter - bono/transacción x VU,147,10878.00,74.00,135,9990.00,74.00,,,,150,13950.00,93.00,432,34818.00
AVANTER,5010,Bonos Loreal,Avanter - bono/transacción x VU,91364,6760936.00,74.00,74721,5529354.00,74.00,,,,67206,6250158.00,93.00,233291,18540448.00
AVANTER,5011,Programa Beneficiarte (Ferring),Avanter - bono/transacción x VU,453,33522.00,74.00,394,29156.00,74.00,,,,484,45012.00,93.00,1331,107690.00
AVANTER,5014,Programa Rossmore,Avanter - bono/transacción x VU,1549,114626.00,74.00,1437,106338.00,74.00,,,,1683,156519.00,93.00,4669,377483.00
AVANTER,5020,Bonos Eucerin (Beiersdorf),Avanter - bono/transacción x VU,42157,3119618.00,74.00,30505,2257370.00,74.00,,,,29074,2703882.00,93.00,101736,8080870.00
AVANTER,5022,Ofertas Casasco,Avanter - bono/transacción x VU,34587,2559438.00,74.00,28811,2132014.00,74.00,,,,25273,2350389.00,93.00,88671,7041841.00
AVANTER,5023,Programa Farmaspen (Aspen),Avanter - bono/transacción x VU,1991,147334.00,74.00,1778,131572.00,74.00,,,,2285,212505.00,93.00,6054,491411.00
AVANTER,5024,Nutricia Siempre Juntos (Bagó),Avanter - bono/transacción x VU,387,28638.00,74.00,329,24346.00,74.00,,,,421,39153.00,93.00,1137,92137.00
AVANTER,5027,Programa Vari Te Acerca (Varifarma),Avanter - bono/transacción x VU,7,518.00,74.00,6,444.00,74.00,,,,8,744.00,93.00,21,1706.00
AVANTER,5050,Bonos Andrómaco,Avanter - bono/transacción x VU,554837,41057938.00,74.00,336212,24879688.00,74.00,,,,260641,24239613.00,93.00,1151690,90177239.00
AVANTER,5060,Bonos Isdin,Avanter - bono/transacción x VU,40175,2972950.00,74.00,25065,1854810.00,74.00,,,,18937,1761141.00,93.00,84177,6588901.00
AVANTER,5090,Bonos Galderma,Avanter - bono/transacción x VU,10966,811484.00,74.00,7941,587634.00,74.00,,,,9934,923862.00,93.00,28841,2322980.00
AVANTER,5100,Bonos Bernabo,Avanter - bono/transacción x VU,4458,329892.00,74.00,4207,311318.00,74.00,,,,4464,415152.00,93.00,13129,1056362.00
AVANTER,5110,Bonos Eurolab,Avanter - bono/transacción x VU,26534,1963516.00,74.00,24819,1836606.00,74.00,,,,31434,2923362.00,93.00,82787,6723484.00
AVANTER,5130,Bonos Cassara,Avanter - bono/transacción x VU,8603,636622.00,74.00,7894,584156.00,74.00,,,,9823,913539.00,93.00,26320,2134317.00
AVANTER,5140,Bonos Bagó,Avanter - bono/transacción x VU,54581,4038994.00,74.00,35663,2639062.00,74.00,,,,15759,1465587.00,93.00,106003,8143643.00
AVANTER,5150,Bonos Caviahue,Avanter - bono/transacción x VU,1002,74148.00,74.00,982,72668.00,74.00,,,,2593,241149.00,93.00,4577,387965.00
AVANTER,5160,Bonos By Derm,Avanter - bono/transacción x VU,5461,404114.00,74.00,5116,378584.00,74.00,,,,6100,567300.00,93.00,16677,1349998.00
AVANTER,5170,Bonos Bioderma,Avanter - bono/transacción x VU,1129,83546.00,74.00,1053,77922.00,74.00,,,,1462,135966.00,93.00,3644,297434.00
AVANTER,5180,Bonos Biferdil,Avanter - bono/transacción x VU,10,740.00,74.00,12,888.00,74.00,,,,22,2046.00,93.00,44,3674.00
AVANTER,5190,Bonos Fresenius,Avanter - bono/transacción x VU,47,3478.00,74.00,38,2812.00,74.00,,,,107,9951.00,93.00,192,16241.00
AVANTER,5200,Bonos SC Johnson,Avanter - bono/transacción x VU,16,1184.00,74.00,20,1480.00,74.00,,,,6,558.00,93.00,42,3222.00
AVANTER,5210,Bonos Pharmatrix,Avanter - bono/transacción x VU,85,6290.00,74.00,80,5920.00,74.00,,,,320,29760.00,93.00,485,41970.00
AVANTER,5220,Bonos Megalabs,Avanter - bono/transacción x VU,0,0.00,,0,0.00,,,,,,,,0,0.00
AVANTER,5230,Bonos Siegfried,Avanter - bono/transacción x VU,0,0.00,,,,,,,,,,,0,0.00
AVANTER,5240,Bonos Raisse,Avanter - bono/transacción x VU,167,12358.00,74.00,356,26344.00,74.00,,,,,,,523,38702.00
AVANTER,5250,Bonos Siscom (Rayito de Sol),Avanter - bono/transacción x VU,0,0.00,,0,0.00,,,,,1,93.00,93.00,1,93.00
AVANTER,5260,Bonos ENA (alta 22/04/2026),Alta laboratorio nuevo,,,,,,,,,,,547420.80,,,547420.80
