REPORTE LABOS 2026 - Seguimiento por Cliente (ene-abr) | Montos ARS sin IVA | s/d Avanter marzo y feb de Colgate/MaxVision/SidusFarma/Ceoderma

Código,Programa,Laboratorio,Lab. Propio,Avanter Proveedor,FC POR AVANTER,Precio,Actualización,Status,ENERO TRX,ENERO % TRX MES,ENERO MONTO FC,ENERO MONTO X TRX,FEBRERO TRX,FEBRERO % TRX MES,FEBRERO MONTO FC,FEBRERO MONTO X TRX,MARZO TRX,MARZO % TRX MES,MARZO MONTO FC,MARZO MONTO X TRX,ABRIL TRX,ABRIL % TRX MES,ABRIL MONTO FC,ABRIL MONTO X TRX,MAYO TRX,MAYO % TRX MES,MAYO MONTO FC,MAYO MONTO X TRX,JUNIO TRX,JUNIO % TRX MES,JUNIO MONTO FC,JUNIO MONTO X TRX,JULIO TRX,JULIO % TRX MES,JULIO MONTO FC,JULIO MONTO X TRX,AGOSTO TRX,AGOSTO % TRX MES,AGOSTO MONTO FC,AGOSTO MONTO X TRX,SEPTIEMBRE TRX,SEPTIEMBRE % TRX MES,SEPTIEMBRE MONTO FC,SEPTIEMBRE MONTO X TRX,OCTUBRE TRX,OCTUBRE % TRX MES,OCTUBRE MONTO FC,OCTUBRE MONTO X TRX,NOVIEMBRE TRX,NOVIEMBRE % TRX MES,NOVIEMBRE MONTO FC,NOVIEMBRE MONTO X TRX,DICIEMBRE TRX,DICIEMBRE % TRX MES,DICIEMBRE MONTO FC,DICIEMBRE MONTO X TRX,ANUAL (ene-abr) TRX,ANUAL (ene-abr) % TRX MES,ANUAL (ene-abr) MONTO FC,ANUAL (ene-abr) MONTO X TRX
CLIENTE: ASTRAZENECA
5005,Programa Elegir Salud (AZ),ASTRAZENECA,SI,SI,,Uso plataforma MAT + TRX x valor unitario,Mensual por IPC Caba,PRODUCTIVO,15730,1.5698%,3164020.00,201.15,13198,1.7210%,2976652.00,225.54,14775,9.6808%,3447758.00,233.35,14849,2.2723%,3898957.00,262.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58552,2.2739%,13487387.00,230.35
CLIENTE: BAYER
5015,Programa Más Simple (Bayer),BAYER,SI,NO,,"Automático por 0,50% PVP. Con mínimo",Mensual,PRODUCTIVO,1154,0.1152%,972221.92,842.48,1090,0.1421%,941267.72,863.55,1181,0.7738%,1044493.17,884.41,1178,0.1803%,1075303.74,912.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4603,0.1788%,4033286.55,876.23
CLIENTE: SIDUS
5040,Sidus Dermo (Bonos + Plataforma digital),SIDUS DERMO,SI,SI,,Valor fijo por operación + plataforma + WhatsApp,Mensual por IPC Indec. Valor por TRX,PRODUCTIVO,2522,0.2517%,1282897.00,508.68,2281,0.2974%,1255491.00,550.41,2333,1.5286%,1330813.00,570.43,4879,0.7466%,2298686.15,471.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12015,0.4666%,6167887.15,513.35
5041,Programa Convida (Sidus Farma),SIDUS FARMA,SI,NO,,"Automático por 1,00% PVP. Con mínimo $766.721,67",Mensual,PRODUCTIVO,688,0.0687%,766721.67,1114.42,,,,,615,0.4030%,766721.67,1246.70,894,0.1368%,766721.67,857.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2197,0.0853%,2300165.01,1046.96
CLIENTE: PANALAB
5080,Panalab Digital (Bonos + Plataforma),PANALAB,SI,SI,,"On line 0,6% PVP + servicio + WhatsApp",Mensual,PRODUCTIVO,4196,0.4188%,7099101.00,1691.87,3565,0.4649%,6836393.00,1917.64,4586,3.0048%,8378215.00,1826.91,4586,0.7018%,9065584.00,1976.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16933,0.6576%,31379293.00,1853.14
5081,Panalab Papel Manual,PANALAB,SI,NO,,Registros procesados + cajas,Mensual por IPC Caba,PRODUCTIVO,63271,6.3143%,6443666.51,101.84,82475,10.7546%,8320434.77,100.88,90524,59.3129%,9289060.32,102.61,103401,15.8233%,10793227.50,104.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339671,13.1911%,34846389.10,102.59
